file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
REU23_33_leaf1.jpg,oak,132,na,879,479,144,30.5,136.5,zz
REU23_33_leaf2.jpg,oak,132,na,880,481,152,30.5,125.5,zz
REU23_33_leaf3.jpg,oak,132,na,881,477,118,32.5,102.5,zz
REU23_33_leaf4.jpg,oak,132,na,882,481,131,36.5,127.5,zz
REU23_33_leaf5.jpg,oak,132,na,883,36,89,484.5,100.5,zz
REU23_33_leaf6.jpg,oak,132,na,884,484,114,34.5,112.5,zz
REU23_33_leaf7.jpg,oak,132,na,885,485,82,33.5,66.5,zz
REU23_33_leaf8.jpg,oak,132,na,886,35,123,476.5,135.5,zz
REU23_34a_leaf1.jpg,oak,132,na,887,485,165,32.5,195.5,zz
REU23_34a_leaf3.jpg,oak,132,na,888,481,142,36.5,157.5,zz
REU23_34b_leaf1.jpg,oak,132,na,889,485,154,37.5,183.5,zz
REU23_34b_leaf2.jpg,oak,132,na,890,478,119,30.5,131.5,zz
REU23_34b_leaf3.jpg,oak,132,na,891,480,109,31.5,110.5,zz
REU23_35a_leaf1.jpg,oak,132,na,892,482,183,58.5,276.5,zz
REU23_35a_leaf2.jpg,oak,132,na,893,478,128,31.5,147.5,zz
REU23_35a_leaf3.jpg,oak,132,na,894,481,169,32.5,219.5,zz
REU23_35a_leaf4.jpg,oak,132,na,895,482,161,35.5,185.5,zz
REU23_35a_leaf5.jpg,oak,132,na,896,483,157,31.5,171.5,zz
REU23_35b_leaf1.jpg,oak,132,na,897,483,185,41.5,169.5,zz
REU23_35b_leaf2.jpg,oak,132,na,898,480,189,29.5,181.5,zz
REU23_35b_leaf3.jpg,oak,132,na,899,479,167,33.5,173.5,zz
REU23_36_leaf1.jpg,oak,132,na,900,482,94,33.5,100.5,zz
REU23_36_leaf2.jpg,oak,132,na,901,479,128,36.5,122.5,zz
REU23_36_leaf3.jpg,oak,132,na,902,31,124,481.5,132.5,zz
REU23_36_leaf4.jpg,oak,132,na,903,37,112,481.5,101.5,zz
REU23_36_leaf5.jpg,oak,132,na,904,33,106,478.5,79.5,zz
REU23_36_leaf6.jpg,oak,132,na,905,36,108,481.5,91.5,zz
REU23_36_leaf7.jpg,oak,132,na,906,480,96,32.5,69.5,zz
REU23_36_leaf8.jpg,oak,132,na,907,34,120,477.5,137.5,zz
REU23_37_leaf1.jpg,oak,132,na,908,475,152,32.5,136.5,zz
REU23_37_leaf2.jpg,oak,132,na,909,481,125,37.5,145.5,zz
REU23_37_leaf3.jpg,oak,132,na,910,481,146,38.5,156.5,zz
REU23_37_leaf4.jpg,oak,132,na,911,484,156,36.5,155.5,zz
REU23_37_leaf5.jpg,oak,132,na,912,479,129,33.5,146.5,zz
REU23_37_leaf6.jpg,oak,132,na,913,478,179,34.5,183.5,zz
REU23_37_leaf7.jpg,oak,132,na,914,475,177,33.5,179.5,zz
REU23_37_leaf8.jpg,oak,132,na,915,483,118,36.5,121.5,zz
REU23_37_leaf9.jpg,oak,132,na,916,480,94,28.5,122.5,zz
REU23_38_leaf1.jpg,oak,132,na,917,484,190,35.5,139.5,zz
REU23_38_leaf2.jpg,oak,132,na,918,477,172,34.5,191.5,zz
REU23_38_leaf3.jpg,oak,132,na,919,485,147,34.5,153.5,zz
REU23_38_leaf4.jpg,oak,132,na,920,482,164,34.5,124.5,zz
REU23_38_leaf5.jpg,oak,132,na,921,480,126,36.5,122.5,zz
REU23_38_leaf6.jpg,oak,132,na,922,479,236,31.5,170.5,zz
REU23_39_leaf1.jpg,oak,132,na,923,479,124,34.5,109.5,zz
REU23_39_leaf2.jpg,oak,132,na,924,484,187,33.5,157.5,zz
REU23_39_leaf3.jpg,oak,132,na,925,31,215,482.5,196.5,zz
REU23_39_leaf4.jpg,oak,132,na,926,479,146,34.5,139.5,zz
REU23_39_leaf5.jpg,oak,132,na,927,482,171,35.5,154.5,zz
REU23_39_leaf6.jpg,oak,132,na,928,481,148,31.5,168.5,zz
REU23_39_leaf7.jpg,oak,132,na,929,482,151,33.5,150.5,zz
REU23_39_leaf8.jpg,oak,132,na,930,481,155,31.5,146.5,zz
REU23_3_1_XY.jpg,oak,132,na,931,484,143,32.5,138.5,zz
REU23_3_2_XY.jpg,oak,132,na,932,482,100,32.5,93.5,zz
REU23_3_3_XY.jpg,oak,132,na,933,481,103,36.5,89.5,zz
REU23_3_4_XY.jpg,oak,132,na,934,479,129,31.5,134.5,zz
REU23_3_5_XY.jpg,oak,132,na,935,476,112,30.5,83.5,zz
REU23_3_6_XY.jpg,oak,132,na,936,484,89,35.5,102.5,zz
REU23_3_7_XY.jpg,oak,132,na,937,482,104,35.5,141.5,zz
REU23_3_8_XY.jpg,oak,132,na,938,482,135,32.5,126.5,zz
REU23_40_leaf1.jpg,oak,132,na,939,480,152,31.5,142.5,zz
REU23_40_leaf2.jpg,oak,132,na,940,482,218,35.5,191.5,zz
REU23_40_leaf3.jpg,oak,132,na,941,482,206,34.5,188.5,zz
REU23_40_leaf4.jpg,oak,132,na,942,482,175,34.5,148.5,zz
REU23_40_leaf5.jpg,oak,132,na,943,482,180,34.5,174.5,zz
REU23_40_leaf6.jpg,oak,132,na,944,478,187,33.5,168.5,zz
REU23_40_leaf7.jpg,oak,132,na,945,481,124,34.5,151.5,zz
REU23_41_leaf1.jpg,oak,132,na,946,477,156,32.5,141.5,zz
REU23_41_leaf2.jpg,oak,132,na,947,477,142,32.5,137.5,zz
REU23_41_leaf3.jpg,oak,132,na,948,479,124,37.5,98.5,zz
REU23_41_leaf4.jpg,oak,132,na,949,478,113,35.5,117.5,zz
REU23_41_leaf5.jpg,oak,132,na,950,482,157,29.5,148.5,zz
REU23_41_leaf6.jpg,oak,132,na,951,481,186,45.5,216.5,zz
REU23_41_leaf7.jpg,oak,132,na,952,479,120,35.5,132.5,zz
REU23_42_leaf1.jpg,oak,132,na,953,483,178,34.5,148.5,zz
REU23_42_leaf2.jpg,oak,132,na,954,470,113,33.5,131.5,zz
REU23_42_leaf3.jpg,oak,132,na,955,479,122,37.5,129.5,zz
REU23_42_leaf4.jpg,oak,132,na,956,34,154,481.5,173.5,zz
REU23_42_leaf5.jpg,oak,132,na,957,481,159,31.5,141.5,zz
REU23_42_leaf6.jpg,oak,132,na,958,481,139,32.5,153.5,zz
REU23_42_leaf7.jpg,oak,132,na,959,481,130,35.5,118.5,zz
REU23_43_leaf_1.jpg,oak,132,na,960,482,159,35.5,155.5,zz
REU23_43_leaf_2.jpg,oak,132,na,961,480,87,33.5,92.5,zz
REU23_43_leaf_3.jpg,oak,132,na,962,482,177,38.5,178.5,zz
REU23_43_leaf_4.jpg,oak,132,na,963,482,115,32.5,100.5,zz
REU23_43_leaf_5.jpg,oak,132,na,964,481,156,34.5,106.5,zz
REU23_43_leaf_6.jpg,oak,132,na,965,487,137,31.5,171.5,zz
REU23_43_leaf_7.jpg,oak,132,na,966,483,149,32.5,151.5,zz
REU23_43_leaf_8.jpg,oak,132,na,967,481,122,36.5,120.5,zz
REU23_44_leaf_1.jpg,oak,132,na,968,478,163,35.5,162.5,zz
REU23_44_leaf_2.jpg,oak,132,na,969,483,91,36.5,89.5,zz
REU23_44_leaf_3.jpg,oak,132,na,970,478,108,34.5,117.5,zz
REU23_44_leaf_4.jpg,oak,132,na,971,34,127,481.5,98.5,zz
REU23_44_leaf_5.jpg,oak,132,na,972,480,113,36.5,107.5,zz
REU23_44_leaf_6.jpg,oak,132,na,973,482,130,31.5,134.5,zz
REU23_44_leaf_7.jpg,oak,132,na,974,481,145,32.5,133.5,zz
